channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UCrNISLWm4d6SRf8AUjoGm1g,63108,51030,57679,77713,1.53,1.28,31.68,25500,27.1,155,NULL,꿀팁,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCs3-hF7UUTP6LCiuM6d2wow,15074,6000,4178,19347,0.85,1.52,35.83,306,71.83,71,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","패션 & 의류","뷰티 & 메이크업",NULL,NULL
UCTD9TfBzmHnxTjfUoo2Decg,4038,3476,5047,2198,1.18,3.36,-0.72,-100,35.44,206,NULL,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,NULL
UCtpTYaQdLgjVdFgv39paPSw,12014,45361,1000,12379,0.12,0.12,71.02,652,96.79,156,NULL,ASMR,"리뷰 & 언박싱","교육 & 커리어","뷰티 & 메이크업",NULL,"패션 & 의류"
UCTyD4XzYKk8ut6DDF7f_J4g,3181,NULL,NULL,3181,NULL,NULL,0.97,10,100,41,NULL,NULL,꿀팁,NULL,"뷰티 & 메이크업",NULL,NULL
UCtyfbLrbFLiP73m_-PQ14Uw,3507,2005,2118,4536,1.86,2.07,420.98,1204,57.45,47,NULL,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","패션 & 의류","패션 & 의류"
UCU8fctGh4wlWESYMwlOYWxg,4585,4292,1552,5653,1.04,1.4,3.91,500,73.97,584,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,NULL
UCUeVdhdq6tF4wIojud9PMdw,70327,74319,71580,8325,2.94,2.07,-0.56,-2000,1.98,202,NULL,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","여행 & 캠핑","IT & 전자기기"
UCUqh8IuIbuh5fX8R5T33jHA,14000,17960,8620,19879,1.7,0.73,2.87,900,47.78,879,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UCuYDQO-Uf_PS9GM9Ylvx2Zw,2471,2817,2681,1455,2.66,2.02,2.4,210,17.17,99,NULL,"리뷰 & 언박싱",튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","동물 (펫)"
