channel_id,channel_title,brand1,brand2,brand3,video_id,views,likes,comments,channel_cost,publishDate,cpv,title
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",구달,NULL,NULL,0G0lVM0KvTE,1246,0,2,8310250,2023-09-04,6669.54,"민감성 피부는 올영세일때 이거 사야함!"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",씨케이디게런티드,NULL,NULL,0HB__qSpISo,2041,0,0,8310250,2024-08-30,4071.66,"비싼 콜라겐팩 저렴하게 사는 법 #올영세일"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",NULL,NULL,NULL,1G0Hta3nQd0,1518,45,25,16800000,2026-02-12,11067.2,"VLOG/ 30대 여성의 삶…고민★ 일상 브이로그 (결혼, 커리어, 재테크, 이사준비, 피부과 시술)"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",스팀베이스,잇츠스킨,NULL,1n578OXcIXU,23974,0,0,8310250,2024-10-17,346.636,"쌍수 3주차 첫 메이크업👀 수면마취/부분마취? 너무 달랐던 쌍커풀 수술썰 풀면서 가을 핑크 메이크업 겟레디윗미"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",마일드랩,NULL,NULL,5u6H_vqxPdo,125119,0,91,8310250,2022-12-17,66.4188,"2주만에 효과보는 트러블 케어 꿀팁! 여드름 원인부터 여드름 흉터 재생크림 추천까지 (+마일드랩 연고 마켓 공지/이벤트)"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",NULL,NULL,NULL,7UdmLwm4uaM,1446,0,0,8310250,2024-02-15,5747.06,"올영세일보다 싸다고?! #뷰티컬리 백화점 색조 추천템💜"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",페리페라,NULL,NULL,aUegBEcQNxg,1900,0,3,8310250,2024-11-29,4373.82,"공주들아 립천재 왕국에 초대할게🧚🏻‍♀️"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",편강율,NULL,NULL,b1zZA5zzQpY,4081,0,39,8310250,2023-06-15,2036.33,"[자취일기] 야물딱진 직장인 자취생의 하루. 일상브이로그 (집밥 떡볶이/내돈내산 닥터탱글 솔직후기/N잡러 일상)"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",닥터랩노쉬,NULL,NULL,b7VQhHWzN_8,2527,42,24,8310250,2025-01-22,3288.58,"[먹방 브이로그 in NEWYORK] 일주일동안 먹은 것들 (미국 간식 추천, 식재료 하울, 미국 집밥, 트레이더조스 추천템, 혈당관리)"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",메디필,NULL,NULL,BjRf0nNQjO8,2800,16,4,16740000,2025-10-01,5978.57,"지금 10월 올영픽으로 난리 난 800원으로 #청담샵베이스 완성하기"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",NULL,NULL,NULL,C3sU8vw1Iro,2000,0,0,8310250,2025-05-22,4155.12,"피부과에서 핫한 브랜드 성수 팝업 후기"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",에센허브,NULL,NULL,cj6sqPqBaNc,1751,0,4,8310250,2024-03-01,4746,"또 생겼네... 트러블 진정 케어 가보자고"
UCDaYQyEp5BEbSo_gGUlFRaw,"마롱 marong",에이지투웨니스,NULL,NULL,DJJ9lby3vtM,19675,0,69,16800000,2025-11-17,853.875,"겨울에 쿠션 바르지 마세요! 환절기 베이스 꿀조합🍯 뭉침&들뜸없는 건성 베이스 루틴"
