channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UCioJwT-ur5Qcq8ieUdIinew,25672,NULL,NULL,25672,NULL,NULL,-0.53,-100,100,397,NULL,NULL,"리뷰 & 언박싱",NULL,"리빙 & 인테리어",NULL,"뷰티 & 메이크업"
UCjgZxM7HzZAac1otBC_sW2Q,11522,4671,10448,12355,1.3,2.05,24,360,56.34,71,NULL,"리뷰 & 언박싱",꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCjmZi4wQOrIKhDBn4nDyPLw,80813,91019,123081,67068,0.2,0.08,-0.55,-300,75.46,542,NULL,"리뷰 & 언박싱","리뷰 & 언박싱",음악,엔터테인먼트,"일상 & 라이프스타일","취미 & 공예 & 디자인"
UCJtAFDmVo5_9dnobfV-rl1g,84454,115753,102670,22851,0.42,1.74,-0.97,-1000,22.82,815,1,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",엔터테인먼트,엔터테인먼트
UCJU6f4O7B3W28X11Eilohjg,2655,NULL,6270,2397,1.65,2.01,31.29,510,92.03,414,NULL,뮤직비디오,브이로그,게임,게임,엔터테인먼트,엔터테인먼트
UCKEvBMEpqQPrvh5ZeN_P3og,20668,14507,21000,20761,0.95,1.23,1.82,3000,34.52,591,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","패션 & 의류","패션 & 의류","뷰티 & 메이크업","뷰티 & 메이크업"
UCkHV19H9zjLjRnBhrGUcLug,2264,3441,2186,2311,0.9,0.48,9.47,550,62.23,233,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"의료 & 건강"
UCklTfQ3RRhIxSj5OKVmhIYA,888,NULL,246,946,5.86,5.86,1.28,20,91.67,120,NULL,게임,게임,게임,게임,NULL,NULL
UCKsnQxvZ67NftJ1zW46D1HQ,28125,NULL,63917,12868,0.47,1.45,-0.24,-200,70.11,706,NULL,"예능형 콘텐츠","예능형 콘텐츠","뷰티 & 메이크업","뷰티 & 메이크업","피트니스 & 다이어트",엔터테인먼트
UCKycl5tLdiOz6CMoRMpXNjA,40251,42603,13864,67352,1.58,3.3,2.02,1500,49.33,973,1,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,엔터테인먼트
UCl50tlRGrXUicT4eXwNrBRw,9648,NULL,5346,10279,1.4,1.43,69.47,3140,87.21,172,NULL,브이로그,튜토리얼,"여행 & 캠핑","뷰티 & 메이크업","뷰티 & 메이크업","음식 & 음료"
