channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UC4Si4YUQMK2c3QhmP7lDY2A,5656,1214,2675,8693,0.49,0.34,5.82,110,49.54,216,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,NULL
UC4wzDI8tetWUqPUoMQJSNrQ,7581,17998,7105,7883,1.03,2.28,2.8,300,61.21,562,NULL,"리뷰 & 언박싱",튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UC4Z-_an4FmdRx0NPJ5l6TyQ,5502,5286,5172,6209,1.99,1.34,1.95,300,31.78,236,NULL,하울,하울,"패션 & 의류","패션 & 의류","뷰티 & 메이크업","일상 & 라이프스타일"
UC57_jVZTM427hTqYMXf7utA,62160,43100,68342,35989,0.23,0.49,-0.91,-2000,19.11,560,NULL,"리뷰 & 언박싱",튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UC58GUNps_MNTjEguFA1bThA,11754,NULL,16210,8717,0.95,1.59,0.34,200,59.47,338,NULL,브이로그,브이로그,"일상 & 라이프스타일","피트니스 & 다이어트","여행 & 캠핑","연애 & 결혼"
UC5gyhspuTp-qt_AGLamD5Fg,41019,3117,21538,42643,1.1,0.67,6.45,200,92.31,143,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"일상 & 라이프스타일"
UC5lrpwLQMmgMh2R_rs2EXwA,31415,NULL,48973,15363,0.75,1.98,2.55,400,52.24,134,NULL,브이로그,브이로그,음악,음악,"일상 & 라이프스타일","일상 & 라이프스타일"
UC5TJGSApJo7dM52PMBpKYew,7670,7247,7973,7507,1.27,0.64,4.85,390,65,440,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"여행 & 캠핑"
UC5tlHwbUnxart0QV_kFI7lA,33858,63109,43416,15837,1.7,1.85,0.51,1000,25.86,638,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","음식 & 음료","음식 & 음료","뷰티 & 메이크업","리빙 & 인테리어"
UC5y2OWl_ygpcuz3BS3G-Vgg,38121,9225,109247,35046,0.8,0.8,9.03,290,95.85,193,NULL,"리뷰 & 언박싱",브이로그,"뷰티 & 메이크업","뷰티 & 메이크업",NULL,"일상 & 라이프스타일"
UC6gbVH-zlupe0E1iUbnI8XQ,14101,7135,4098,21117,1.82,1.42,3.79,500,58.78,376,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","패션 & 의류"
UC6ngJ69OTKaFgQobV6EOmcw,130554,113408,134145,103270,1.03,1.3,-0.94,-2000,11.63,86,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","여행 & 캠핑"
UC6VtAC5cVxrOEU_w0oNCI2w,18284,4700,972,19958,0.91,1.01,10.78,250,91.22,148,NULL,언박싱,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","패션 & 의류","패션 & 의류"
UC777OVX_laqRC4n7OvQd9fQ,4184,8552,8197,2996,1.96,2.93,34.73,1660,77.16,232,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UC7gDQCxC1wr955ECW6wSOoA,1948031,1594840,2084415,1639162,1.79,0.69,1.78,40000,30.63,222,NULL,ASMR,ASMR,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UC7oE2mV-9Jkoj9DvZuc4UMA,21432,1849,2502,22237,2.64,2.64,2.26,30,95.92,49,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"일상 & 라이프스타일"
