다이어트학교	다이어트학교	57702	r0_exact	13
Kangol Korea	캉골	20051	r0_exact	13
슬림9	슬림9	131582	r0_exact	13
MJade	엠제이드	31135	r0_exact	12
휘게 언더웨어	휘게언더웨어	150883	r0_exact	12
타입넘버	타입넘버	3783	r0_exact	12
WAUG	와그	808	r0_exact	12
테라로직	테라로직	56212	r0_exact	12
InBody	인바디	64911	r0_exact	12
NS_official	NS	96761	r1_decor	12
912_Official	912	166050	r1_decor	12
해서린	해서린	42053	r0_exact	12
PoseGanch	포즈간츠	66426	r0_exact	12
Tage	테이지	28595	r0_exact	12
플라이코지	플라이코지	154482	r0_exact	12
온리추얼	온리추얼	165256	r0_exact	12
WAYDN	웨이든	153794	r0_exact	12
Hang Ten Korea	행텐	36081	r1_decor	12
청미정	청미정	85942	r0_exact	12
Sione	시오네	173907	r0_exact	11
Genierr	제니에	171886	r0_exact	11
다슈	다슈	225	r0_exact	11
라우드소싱	라우드소싱	110687	r0_exact	11
Xiaomi Korea	샤오미	913	r1_decor	11
Wechik	위칙	154421	r0_exact	11
오렌즈	오렌즈	128895	r0_exact	11
꼼지락	꼼지락	97113	r0_exact	11
포렌코즈	포렌코즈	36362	r0_exact	11
쉐이크베이비	쉐이크베이비	97059	r0_exact	11
AMELI	아멜리	4363	r0_exact	11
슬립퍼	슬립퍼	83162	r0_exact	11
Pranarom Korea	프라나롬	34195	r1_decor	11
MIMZ	밈즈	155062	r0_exact	11
JMW	JMW	3200	r0_exact	11
danp.kr	댄프	165477	r1_decor	11
미리캔버스	미리캔버스	3790	r0_exact	10
프롬비	프롬비	99690	r0_exact	10
비상교육 온리원 중등	비상교육 온리원 중등	60930	r0_exact	10
데코뷰	데코뷰	65225	r0_exact	10
커먼유니크	커먼유니크	147740	r0_exact	10
Demar3	디마르3	117381	r0_exact	10
글램피크	글램피크	78429	r0_exact	10
LIZDA	리즈다	4530	r0_exact	10
핑거수트	핑거수트	97116	r0_exact	10
Lactiv.official	락티브	33213	r1_decor	9
Masmarulez	마스마룰즈	165163	r0_exact	9
마플	마플	53430	r0_exact	9
엔젤앤비	엔젤앤비	163351	r0_exact	9
에블린	에블린	62119	r0_exact	9
하나투어	하나투어	3931	r0_exact	9
올리브영	올리브영	30	r0_exact	9
밀레니얼머니스쿨	밀레니얼머니스쿨 	57619	r0_exact	9
지티스	지티스	157413	r0_exact	9
medipuppy	메디퍼피	166150	r0_exact	9
한끼통살	한끼통살	119672	r0_exact	9
Pyunkang yul	편강율	371	r0_exact	9
엠제이드	엠제이드	31135	r0_exact	9
조성아뷰티	조성아뷰티	753	r0_exact	9
청정원	청정원	216	r0_exact	9
Lukt	룩트	146247	r0_exact	8
Sergio Tacchini	세르지오 타키니	75523	r0_exact	8
스타라이크	스타라이크	162477	r0_exact	8
Beplain_official	비플레인	168	r1_decor	8
오하입	오하입	168585	r0_exact	8
제이엘브	제이엘브	154857	r0_exact	8
Klook	클룩	40978	r0_exact	8
Ohscent	오센트	99692	r0_exact	8
Rbfy	리바이포유	3904	r0_exact	8
Re:NK	리엔케이	66608	r0_exact	8
Basics	베이직스	55790	r0_exact	8
패스트캠퍼스	패스트캠퍼스	4467	r0_exact	8
스피킹맥스	스피킹맥스	3743	r0_exact	8
Apothe	아포테	165152	r0_exact	8
그라스	불스원	763	r0_exact	8
꼬기다	꼬기다	58810	r0_exact	8
유르테	유르테	166286	r0_exact	8
오아	오아	149	r0_exact	8
널담	널담	155156	r0_exact	8
Thehistoryofwhoo.official	더후	108384	r1_decor	8
블루그레인	블루그레인	118293	r0_exact	8
Babitalk	바비톡	28388	r0_exact	8
Sillymann	실리만	34094	r0_exact	7
올리	올리	82914	r0_exact	7
HANE	하네	165428	r0_exact	7
Altenbach	알텐바흐	50281	r0_exact	7
Saily	세일리	157428	r0_exact	7
한스킨	한스킨	97109	r0_exact	7
휴닉	휴닉	153890	r0_exact	7
OpenAI	OpenAI	163729	r0_exact	7
Meitu	메이투	152771	r0_exact	7
네이버페이	네이버페이	56736	r0_exact	7
LG프라엘	LG프라엘	162804	r0_exact	7
라돌프	라돌프	109410	r0_exact	7
디어오늘	디어오늘	166157	r0_exact	7
모델로화장품	모델로화장품	118952	r0_exact	7
블레스문	블레스문	41762	r0_exact	7
mongdol.official	몽돌	53868	r1_decor	7
포켓샐러드	포켓샐러드	156117	r0_exact	7
제너럴아이디어	제너럴아이디어	76763	r0_exact	7
Entre Rêves	앙트레브	148613	r0_exact	7
셀로라바이 코리아	셀로라바이	155061	r1_decor	7
휴그랩	휴그랩	97106	r0_exact	7
볼빅	볼빅	118143	r0_exact	7
Another face	어나더페이스	155547	r0_exact	7
센트룸	센트룸	3959	r0_exact	6
스컬피그	스컬피그	40990	r0_exact	6
나노레시피	나노레시피	72338	r0_exact	6
Alternativestereo	얼터너티브스테레오	33232	r0_exact	6
Gitden	깃든	164342	r0_exact	6
까사미아	까사미아	545	r0_exact	6
온그리디언츠	온그리디언츠	66614	r0_exact	6
한성컴퓨터	한성컴퓨터	34210	r0_exact	6
파파레서피	파파레서피	162	r0_exact	6
PODL	포들	165252	r0_exact	6
리얼클래스	리얼클래스	4482	r0_exact	6
엘리하이	엘리하이	486	r0_exact	6
슬라운드	슬라운드	19471	r0_exact	6
내집스캔	내집스캔	34146	r0_exact	6
달심	달심	69833	r0_exact	6
유심사	유심사	69796	r0_exact	6
Hotels.com	호텔스닷컴	61689	r0_exact	6
키즈텐	키즈텐	118540	r0_exact	6
티르티르	티르티르	64509	r0_exact	6
자연누리	자연누리	153588	r0_exact	6
닥터린	닥터린	117476	r0_exact	6
로니엘	로니엘	144067	r0_exact	6
누잠	누잠	56266	r0_exact	6
렌즈미	렌즈미	4012	r0_exact	6
ClearDea korea	클리어디어	153449	r1_decor	6
푸드올로지	푸드올로지	3703	r0_exact	6
스파오 키즈	스파오	4399	r1_decor	6
