soda.app	소다	229	34
AMOREPACIFIC MALL - 아모레퍼시픽몰	아모레퍼시픽	125	33
리필드-Refilled	리필드	129567	33
익스트림 Extreme	익스트림	20268	33
클린디 - CleanD	클린디	165281	33
Torhop ad	토르홉	153137	32
럭스나인 Luxnine	럭스나인	4306	32
더페이스샵 - The Face Shop	더페이스샵	110638	32
Bamkel_	밤켈	53871	31
아이디어스, idus	아이디어스	3940	29
Blaupunkt-life-kr	블라우풍트	165254	29
디스커버리 익스페디션 Discovery Expedition	디스커버리	3876	29
메디큐브 에이지알	메디큐브	4002	28
DPPR I 디퍼	디퍼	164301	28
Talk to Her-톡투허	톡투허	153586	28
They.il	데이(THEY)	105248	27
로더렛 L'odeurlette	로더렛	148297	27
꿈비- ggumbi	꿈비	117385	26
어바웃펫 AboutPet	어바웃펫	37250	26
romand 롬앤	롬앤	4302	26
퀵슬립 - Quicksleep	퀵슬립	57	26
Tiptoe.life.	팁토우	85914	26
Chasin' Rabbits - 체이싱래빗	체이싱래빗	4334	25
메디온 medion	메디온	166155	25
LG유플러스 (LG Uplus)	LG유플러스	784	24
AI Catch Video App	캐치	99234	23
오랄비 Oral-B Korea	오랄비	3218	22
풀리오 Pulio-days	풀리오	83405	22
Makeon 메이크온	메이크온	146229	22
Atflee - 앳플리	앳플리	46161	21
Voar - 보아르	보아르	85893	21
센텔리안24 마데카 프라임	센텔리안24	62003	21
Klairs 클레어스	디어클레어스	31154	20
클래스101 - CLASS101	클래스101	36229	20
힐링버드 HealingBird	힐링버드	108	20
리카리카 - likalika	리카리카	171937	20
필라이즈 - 초개인화 토탈 건강 관리 앱	필라이즈	33199	20
Lyanature co. 리아네이처	리아네이처	154861	20
마미케어 H	마미케어	129063	20
Whiff 위프	위프	159288	19
헤라(HERA)	헤라	4028	19
락앤락-LocknLock	락앤락	3905	19
MAKEHEAL 메이크힐	메이크힐	115810	19
식단이 쉬워진다. 랭킹닭컴	랭킹닭컴	3102	19
Codescombineinnerwear - 코데즈컴바인이너웨어	코데즈컴바인이너웨어	107038	19
아임미미 I'M MEME	아임미미	3792	19
니아르 NE:AR	니아르	147424	18
Philips Home Living - 필립스 홈리빙	필립스	4061	18
LUNA 루나 코스메틱	루나	151	17
iHerb.com Korean	아이허브	148	17
크몽 전자책 VOD	크몽	32904	16
청연-청소연구소,청연케어	청소연구소	131578	16
Overthe.co.kr	오버더	66379	16
AI Catch: AI Photo&Video Tool	캐치	99234	16
정관장 삼삶스토리	정관장	559	16
캉골 키즈 코리아 (Kangol Kids Korea)	캉골	20051	16
LAGOM 라곰	라곰	153660	16
주미소 jumiso	주미소	110665	16
라쿠텐 트래블 - Rakuten Travel	트래블	152647	15
라로슈포제 La Roche-Posay	라로슈포제	3714	15
단색 Dansaek	단색	82908	15
동국제약 토탈헬스케어	동국제약	3833	15
lululemon Seoul	룰루레몬	64519	15
링글 틴즈 1:1 화상영어	링글	33041	15
클리오 CLIO	클리오	84	15
플로랑 - 프리미엄 섬유 향수	플로랑	85867	14
NOL 티켓	야놀자	234	14
NOL 인터파크투어	야놀자	234	14
다우니 - Downy Korea 	다우니	199	14
러븀 Luvum	러븀	4520	13
Coolean 쿨린	쿨린	61030	13
Marhen.j - 마르헨제이	마르헨제이	3796	13
아모레퍼시픽 Amorepacific	아모레퍼시픽	125	13
BY LAB 바이랩	바이랩	159292	13
레디블룸 readybloom	레디블룸	152197	13
밀리옹 Milliong Seoul	서울시	414	13
비브비브-vivevive	비브비브	90253	13
춘몽-ChunMong	춘몽	146446	13
어반사이드 urbanside	어반사이드	316	13
동성제약 Dongsung-Pharm	동성제약	155288	12
아이디얼포맨 ideal for men	아이디얼포맨	3188	12
Kindoh - 킨도	킨도	110625	12
AHC 에이에이치씨	AHC	254	12
말하는 공룡친구 카티	카티	66395	12
그로서리서울 Grocery Seoul	그로서리서울	163737	12
이옴 - EIOM	이옴	164317	12
릴리바이레드 lilybyred	릴리바이레드	836	11
Brandless - 브랜드리스	브랜드리스	27261	11
유팡 UPANG	유팡	165169	11
디마프 레지나	디마프	122038	11
미소 Miso	미소	93381	11
코링코 Coringco	코링코	66593	11
히말라야 나드	나드	131585	11
큐원 상쾌환	큐원	257	11
Mumchit - 멈칫	멈칫	40996	10
쿤달 - Kundal	쿤달	694	10
1:1 실시간 화상영어 캠블리	캠블리	110	10
Aero K 에어로케이항공	에어로케이 항공	91833	10
아이레시피 irecipe	아이레시피	66612	10
취향이 깃든 공간을 만들어 가는 즐거움, 무브먼트랩	깃든	164342	10
