branded_page_name,brand_name_kr,brand_logo_id,ad_count
헤어플러스,헤어플러스,108383,25
더미식,더미식,15,24
Not Only For Today,낫온리포투데이,90528,24
LG유플러스 (LG Uplus),LG유플러스,784,24
바바더닷컴,바바더닷컴,147760,23
젝시믹스,젝시믹스,49154,23
오늘의집,오늘의집,28367,23
프리메라,프리메라,4339,23
드시모네,또박케어,107084,23
MLBkorea,MLB Korea,53854,23
AI Catch Video App,캐치,99234,23
뮤드,뮤드,47248,23
오랄비 Oral-B Korea,오랄비,3218,22
plalink,플라링크,172966,22
Plaud.kr,플라우드,163745,22
베이비 브레짜,베이비브레짜,64488,22
OFRA Cosmetics Korea,오프라코스메틱,154808,22
TOUN28,톤28,66558,22
트리폴라 코리아 ,트리폴라,341,22
풀리오 Pulio-days,풀리오,83405,22
Barcofficial,바크,62142,22
더드리머 The Dreamer,드리머,171954,22
Biorga,바이오가,85888,22
프로젝트21,프로젝트21,19697,22
Makeon 메이크온,메이크온,146229,22
Lg생활건강,LG생활건강,112,21
Glow.M,글로우엠,155708,21
Atflee - 앳플리,앳플리,46161,21
스마트캔디,스마트캔디,144691,21
Kokozi,코코지하우스,875,21
Voar - 보아르,보아르,85893,21
벨바스킨,벨바스킨,173897,21
Comingle beauty,커밍글,171910,21
Meliens,멜리언스,154456,21
반코르,반코르,4608,21
LIBER,리베르,91868,21
센텔리안24 마데카 프라임,센텔리안24,62003,21
이프 eif kr,이프,165995,20
이즈앤트리,이즈앤트리,959,20
Klairs 클레어스,디어클레어스,31154,20
클래스101 - CLASS101,클래스101,36229,20
힐링버드 HealingBird,힐링버드,108,20
리카리카 - likalika,리카리카,171937,20
무르,무르,135821,20
Teabless_official,티블레스,45809,20
PPZ,퍼피즈,166288,20
스크럽대디,스크럽 대디,168603,20
라이브오랄스,라이브오랄스,609,20
필라이즈 - 초개인화 토탈 건강 관리 앱,필라이즈,33199,20
Lyanature co. 리아네이처,리아네이처,154861,20
Slown,슬로운,157436,20
모두닥,모두닥,154147,20
웰247,웰247,160114,20
페이퍼백,페이퍼백,4067,20
마미케어 H,마미케어,129063,20
Whiff 위프,위프,159288,19
Gripit,그리핏,156059,19
라보페,라보페,133,19
헤라(HERA),헤라,4028,19
Lavoir,라브아,94649,19
락앤락-LocknLock,락앤락,3905,19
MAKEHEAL 메이크힐,메이크힐,115810,19
렌트리,렌트리,162166,19
식단이 쉬워진다. 랭킹닭컴,랭킹닭컴,3102,19
팸퍼스,팸퍼스,143,19
Codescombineinnerwear - 코데즈컴바인이너웨어,코데즈컴바인이너웨어,107038,19
아임미미 I'M MEME,아임미미,3792,19
아이쉐어링,아이쉐어링,166019,19
니아르 NE:AR,니아르,147424,18
더랩바이블랑두,더랩바이블랑두,3193,18
LeMouton,르무통,4352,18
