branded_page_name,matched_brand_kr,brand_logo_id,count,verdict
퀵슬립 - Quicksleep,퀵슬립,57,26,yes
Tiptoe.life.,팁토우,85914,26,yes
Chasin' Rabbits - 체이싱래빗,체이싱래빗,4334,25,yes
메디온 medion,메디온,166155,25,yes
LG유플러스 (LG Uplus),LG유플러스,784,24,yes
AI Catch Video App,캐치,99234,23,review
오랄비 Oral-B Korea,오랄비,3218,22,yes
풀리오 Pulio-days,풀리오,83405,22,yes
더드리머 The Dreamer,드리머,171954,22,yes
Makeon 메이크온,메이크온,146229,22,yes
Atflee - 앳플리,앳플리,46161,21,yes
Voar - 보아르,보아르,85893,21,yes
Comingle beauty,커밍글,171910,21,yes
센텔리안24 마데카 프라임,센텔리안24,62003,21,yes
이프 eif kr,이프,165995,20,yes
Klairs 클레어스,디어클레어스,31154,20,yes
클래스101 - CLASS101,클래스101,36229,20,yes
힐링버드 HealingBird,힐링버드,108,20,yes
리카리카 - likalika,리카리카,171937,20,yes
필라이즈 - 초개인화 토탈 건강 관리 앱,필라이즈,33199,20,yes
Lyanature co. 리아네이처,리아네이처,154861,20,yes
마미케어 H,마미케어,129063,20,yes
Whiff 위프,위프,159288,19,yes
헤라(HERA),헤라,4028,19,yes
락앤락-LocknLock,락앤락,3905,19,yes
MAKEHEAL 메이크힐,메이크힐,115810,19,yes
식단이 쉬워진다. 랭킹닭컴,랭킹닭컴,3102,19,yes
Codescombineinnerwear - 코데즈컴바인이너웨어,코데즈컴바인이너웨어,107038,19,yes
아임미미 I'M MEME,아임미미,3792,19,yes
니아르 NE:AR,니아르,147424,18,yes
Philips Home Living - 필립스 홈리빙,필립스,4061,18,yes
LUNA 루나 코스메틱,루나,151,17,yes
iHerb.com Korean,아이허브,148,17,yes
크몽 전자책 VOD,크몽,32904,16,yes
"청연-청소연구소,청연케어",청소연구소,131578,16,yes
Overthe.co.kr,오버더,66379,16,yes
AI Catch: AI Photo&Video Tool,캐치,99234,16,review
정관장 삼삶스토리,정관장,559,16,yes
캉골 키즈 코리아 (Kangol Kids Korea),캉골,20051,16,yes
LAGOM 라곰,라곰,153660,16,yes
주미소 jumiso,주미소,110665,16,yes
라로슈포제 La Roche-Posay,라로슈포제,3714,15,yes
단색 Dansaek,단색,82908,15,yes
동국제약 토탈헬스케어,동국제약,3833,15,yes
lululemon Seoul,룰루레몬,64519,15,yes
링글 틴즈 1:1 화상영어,링글,33041,15,yes
클리오 CLIO,클리오,84,15,yes
플로랑 - 프리미엄 섬유 향수,플로랑,85867,14,yes
NOL 티켓,야놀자,234,14,yes
NOL 인터파크투어,야놀자,234,14,yes
다우니 - Downy Korea ,다우니,199,14,yes
러븀 Luvum,러븀,4520,13,yes
Coolean 쿨린,쿨린,61030,13,yes
일센치_1cm,일센치,165925,13,yes
Marhen.j - 마르헨제이,마르헨제이,3796,13,yes
좋은 옷엔 좋은 옷걸이 - 엠부띠끄,엠부띠끄,166265,13,yes
아모레퍼시픽 Amorepacific,아모레퍼시픽,125,13,yes
BY LAB 바이랩,바이랩,159292,13,yes
레디블룸 readybloom,레디블룸,152197,13,yes
비브비브-vivevive,비브비브,90253,13,yes
춘몽-ChunMong,춘몽,146446,13,yes
어반사이드 urbanside,어반사이드,316,13,yes
동성제약 Dongsung-Pharm,동성제약,155288,12,yes
아이디얼포맨 ideal for men,아이디얼포맨,3188,12,yes
Kindoh - 킨도,킨도,110625,12,yes
AHC 에이에이치씨,AHC,254,12,yes
말하는 공룡친구 카티,카티,66395,12,yes
그로서리서울 Grocery Seoul,그로서리서울,163737,12,yes
이옴 - EIOM,이옴,164317,12,yes
주다안 Judaan,주다안,165299,12,yes
릴리바이레드 lilybyred,릴리바이레드,836,11,yes
Brandless - 브랜드리스,브랜드리스,27261,11,yes
유팡 UPANG,유팡,165169,11,yes
디마프 레지나,디마프,122038,11,yes
미소 Miso,미소,93381,11,yes
코링코 Coringco,코링코,66593,11,yes
히말라야 나드,나드,131585,11,yes
큐원 상쾌환,큐원,257,11,yes
"닥터리의 로하스밀 - 이유식, 육아정보",로하스밀,165103,11,yes
Mumchit - 멈칫,멈칫,40996,10,yes
쿤달 - Kundal,쿤달,694,10,yes
1:1 실시간 화상영어 캠블리,캠블리,110,10,yes
Aero K 에어로케이항공,에어로케이 항공,91833,10,yes
아이레시피 irecipe,아이레시피,66612,10,yes
브라운 면도기 Braun Korea,브라운,3773,10,yes
eSpoir 에스쁘아,에스쁘아,117,10,yes
벤딕트_vendict,벤딕트,94711,10,yes
VOVA 보바,명성,66268,10,review
Dorelan - 돌레란,돌레란,165909,9,yes
배리웨이 variway,배리웨이,165931,9,yes
모두닥 건강검진,모두닥,154147,9,yes
UNOVE 어노브,어노브,3215,9,yes
Teo and the 태오앤더,태오앤더,166160,9,yes
NewOrigin 뉴오리진,뉴오리진,53127,9,yes
프랭클리-Frankly,프랭클리,119813,9,yes
유이크 UIQ,유이크,65223,9,yes
SW19 Fragrance,SW19,28601,9,yes
Rucipello/루치펠로,루치펠로,4526,9,yes
토코보 Tocobo,토코보,31134,9,yes
크런틴 CRUNTIN,크런틴,165177,9,yes
더잠 - TZM,더잠,65182,9,yes
중등인강 1위 엠베스트,엠베스트,3921,9,yes
비상교육 온리원,비상교육,4553,9,yes
노일리 Noily,노일리,166164,9,yes
퍼셀 Purcell,퍼셀,4406,8,yes
천재교과서 밀크T초등,밀크T아이,19049,8,yes
매일유업(Maeil),매일유업,185,8,yes
HEI shoes,HEI,171903,8,yes
모그라미 입으면 효율 200퍼,모그라미,71223,8,yes
피토틱스 Phytotics,피토틱스,97,8,yes
TS샴푸 - TS Shampoo,TS샴푸,33273,8,yes
뮤엘토 Muelto,뮤엘토,168621,8,yes
Golden piece 골든피스,골든피스,155341,8,yes
VINNE 빈느,빈느,152779,8,yes
티타드 TITAD,티타드,34135,8,yes
포토그레이 - Photogray,포토그레이,4078,8,yes
"자연식의 올바른 기준, 씽크라이크펫",씽크라이크펫,129914,8,yes
Abib.fragrance,아비브,321,8,yes
오휘(O HUI),오휘,33265,8,yes
그로우어스 Growus,그로우어스,4344,8,yes
나린플라 narinfla,나린플라,146487,8,yes
ReFa 리파,리파,164841,8,yes
LalaChuu 공식페이지,라라츄,4114,8,yes
바르너 Baruner,바르너,56475,8,yes
닥터딥-Dr.Deep,닥터딥,64658,8,yes
Ring Tap - 링탭,링탭,166184,7,yes
컬러그램 - Colorgram,컬러그램,258,7,yes
노도르 Nodor,노도르,148633,7,yes
테라퓨젠 Terafugen,테라퓨젠,158717,7,yes
무백_moo100,무백,76759,7,yes
VDL Cosmetics,VDL,353,7,yes
에이딕트 a ddct,에이딕트,4370,7,yes
네모닉 nemonic,네모닉,152961,7,yes
danp_official_account,댄프,165477,7,yes
루미르 Lummir,루미르,97071,7,yes
Mute-frame,프레임,154385,7,review
AI Video - AI catch,캐치,99234,7,review
Serene - Meet your Serenity,세렌,166005,7,review
Losy Kim 로지킴,로지킴,165982,7,yes
음식물처리기 린클,린클,213,7,yes
메이크프렘 makep:rem,메이크프렘,348,7,yes
브리쎄 Brissé,브리쎄,164436,7,yes
다슈_올리브영,다슈,225,7,yes
iloom 일룸,일룸,31123,7,yes
약손명가 헬스케어,약손명가,66036,7,yes
코드잇 스프린트,코드잇,28003,6,yes
포뷰트-텍스처쉐이크,포뷰트,27974,6,yes
닥터지 Dr.G,닥터지,100,6,yes
환테크 플랫폼 스위치원,스위치원,56273,6,yes
끌리젠 Kklizen,끌리젠,166046,6,yes
텐바이텐(www.10x10.co.kr),텐바이텐,150,6,yes
마이루핏 myroufit,마이루핏,35382,6,yes
란시노 코리아 Lansinoh korea,란시노,4015,6,yes
AI Catch video,캐치,99234,6,review
닥터서동원 베개,닥터서동원,166182,6,yes
Clabiane 클라비안,클라비안,154293,6,yes
Zigzag.item,지그재그,152970,6,yes
비비안 (VIVIEN),비비안,152911,6,yes
치킨매니아 창업,치킨매니아,141,6,yes
Bodyluv 바디럽,바디럽,4398,6,yes
누즈 nuse,누즈,85944,6,yes
멀티잇 - Multicampus IT,멀티잇,35942,5,yes
맘스터치 - 버거&치킨,맘스터치,71,5,yes
Grip Bank,그립,864,5,no
스킨푸드 Skinfood,스킨푸드,75,5,yes
포뷰트-스케일러,포뷰트,27974,5,yes
리큅 L'EQUIP,리큅,97108,5,yes
아누코 Anuko,아누코,171931,5,yes
씨드비 Seedbee,씨드비,35230,5,yes
Ballop-밸롭,밸롭,61662,5,yes
FINV 핀브,핀브,164119,5,yes
비욘드 (BEYOND),비욘드,65160,5,yes
GEAR BY GASH,가쉬,165308,5,yes
색동서울 Saekdong Seoul,색동서울,168622,5,yes
통영숙수 tongyeongchef,통영숙수,164107,5,yes
루시아이 크리스마스,루시아이,166341,5,yes
듀이셀.Offical,듀이셀,155519,5,yes
Bbangpro Diet Bakery,빵프로 베이커리,171930,5,yes
오뚜기 라면.ZIP,오뚜기,155,5,yes
칼로 Calo,경남제약,94653,5,review
리얼베리어 Real Barrier,리얼베리어,461,5,yes
Hei glow,HEI,171903,5,review
Neoteria planet,네오테리아,165289,5,yes
Costalgia 코스텔지아,코스텔지아,166249,5,yes
Candorlov Cosmetics,칸도럽,164295,5,yes
라라스윗 Lalasweet,라라스윗,35406,4,yes
Naming. 네이밍 코스메틱,네이밍,4346,4,yes
LATE - 레이트,레이트,94694,4,yes
Livb 리브비,리브비,165319,4,yes
쟈뎅 - Jardin,쟈뎅,47172,4,yes
코링코 코스메틱,코링코,66593,4,yes
Lifework - 라이프워크,라이프워크,152163,4,yes
아밀리 Amily,아밀리,103197,4,yes
MaH_Kor,마흐,166261,4,yes
Lilysilk JAPAN,릴리실크,72335,4,yes
오픈갤러리 OPEN GALLERY,오픈갤러리,165255,4,yes
dabongss.selfcare,다봉쓰,165980,4,review
킵유어핏 KEEP YOUR FIT ,킵유어핏,165397,4,yes
코랩 드라이샴푸 COLAB Korea,코랩,153497,4,yes
삼성카드(Samsungcard),삼성카드,56751,4,yes
숨고 - Soomgo,숨고,99102,4,yes
클룹 - CLOOP,클룹,595,4,yes
Wellit.official.page,웰릿,50265,4,yes
kiimuir.us,키뮤어,31147,4,yes
앙또미뇽 Antomignon,앙또미뇽,165127,4,yes
시원스쿨 프랑스어,시원스쿨,28954,4,yes
Edison.baby,에디슨,166276,4,yes
시원스쿨 스페인어,시원스쿨,28954,4,yes
정샘물 뷰티 JSM Beauty,정샘물,78449,4,yes
닥터비타 Dr.Vita,닥터비타,165361,4,yes
에스티 로더 코리아 Estee Lauder Korea Market,에스티,146334,4,review
후아유 Who.A.U,후아유,34122,4,yes
컴포트랩 맨즈 Comfortlab Mens,컴포트랩,3966,4,yes
Beautyoung 뷰티영,뷰티영,69399,4,yes
Klorane France,클로란,78434,4,yes
AMUSE 어뮤즈,어뮤즈,978,4,yes
Wink - Video Enhancing Tool,윙크학습,28273,4,no
월드비전 World Vision Korea,월드비전,3863,4,yes
Renfit 리앤핏,리앤핏,165118,4,yes
포포라보 - Pawpaw LABO,포포라보,165474,4,yes
AI Catch Video APP,캐치,99234,4,review
앤허니 &honey,앤허니,165272,4,yes
라운테스 - Lountess,라운테스,40980,4,yes
낫포유 NOT4U,낫포유,35231,4,yes
Ayunche 아윤채,아윤채,62141,3,yes
sunnicorn_life,써니콘,34213,3,yes
플라이코지 Plycozy,플라이코지,154482,3,yes
포뷰트-두피타투,포뷰트,27974,3,yes
로맨틱무브 본점 - 홍대점,로맨틱무브,46625,3,yes
Nukhan - 뉴칸,뉴칸,50300,3,yes
비상교육 온리원 키즈,비상교육,4553,3,yes
빌리프(belif),빌리프,3710,3,yes
에이치덱스 피플,에이치덱스,67,3,yes
Denps - 덴프스,덴프스,61638,3,yes
CARIN 카린,카린,82921,3,yes
폼글 foamgle,폼글,154182,3,yes
번개장터 - Bunjang,번개장터,65156,3,yes
반려공감 닥터바이,닥터바이,35933,3,yes
seonny_snpe,SNPE,146255,3,review
EGA 에가,에가,166344,3,yes
SPAO 스파오,스파오,4399,3,yes
