branded_page_name,count,exact_match,exact_match_ci,r1_decor,r2_segment,r3_homoglyph
CokanOfficial,26,0,0,1,0,0
퀵슬립 - Quicksleep,26,0,0,0,1,0
디브리오,26,1,1,0,0,0
an_tur_solais,26,0,0,0,0,0
Tiptoe.life.,26,0,0,0,1,0
Sleep Cozcoz,26,0,0,0,0,0
리빙트렌드,26,0,0,0,0,0
Cellaheal,26,0,0,0,0,0
스파르타클럽 - 미래를 돌파하는 힘,26,0,0,0,0,0
Bodyand_mall,26,0,0,1,0,0
찰랑이는머릿결,26,0,0,0,0,0
Laka,25,1,1,0,0,0
브링그린,25,1,1,0,0,0
deepeershop,25,0,0,1,0,0
MLB KIDS,25,1,1,0,0,0
펫펍,25,0,0,0,0,0
에이지이엔티,25,0,0,0,0,0
Chasin' Rabbits - 체이싱래빗,25,0,0,0,1,0
HEMAK,25,0,0,0,0,0
메디온 medion,25,0,0,0,1,0
Scentlier ,25,0,1,0,0,0
헤어플러스,25,1,1,0,0,0
블루지 bluezy,25,0,0,0,0,0
링티제로,24,0,0,0,0,0
더미식,24,1,1,0,0,0
히노티 Hinotea,24,0,0,0,0,0
Not Only For Today,24,0,0,1,0,0
LG유플러스 (LG Uplus),24,0,0,0,1,0
사소시각,24,0,0,0,0,0
요즘웨딩,24,0,0,0,0,0
디어테일,23,0,0,0,0,0
바바더닷컴,23,1,1,0,0,0
Nao Now Mentoring,23,0,0,0,0,0
Duvetica Korea 듀베티카코리아,23,0,0,0,0,0
론네바이론,23,0,0,0,0,0
프리메라,23,1,1,0,0,0
드시모네,23,1,1,0,0,0
MLBkorea,23,0,0,1,0,0
패션 라이프스타일,23,0,0,0,0,0
Shoptemu,23,0,0,0,0,0
AI Catch Video App,23,0,0,0,1,0
뮤드,23,1,1,0,0,0
옹기종기,23,0,0,0,0,0
오랄비 Oral-B Korea,22,0,0,0,1,0
plalink,22,1,1,0,0,0
Plaud.kr,22,0,0,1,0,0
젝시믹스,22,1,1,0,0,0
오늘의집,22,1,1,0,0,0
당근비즈니스,22,0,0,0,0,0
베이비 브레짜,22,0,0,1,0,0
Dr.Melaxin.K,22,0,0,0,0,0
클렌하임,22,0,0,0,0,0
OFRA Cosmetics Korea,22,1,1,0,0,0
그라노벨로,22,0,0,0,0,0
TOUN28,22,0,1,0,0,0
트리폴라 코리아 ,22,0,0,1,0,0
풀리오 Pulio-days,22,0,0,0,1,0
Barcofficial,22,0,0,1,0,0
더드리머 The Dreamer,22,0,0,0,1,0
Biorga,22,1,1,0,0,0
프로젝트21,22,1,1,0,0,0
Makeon 메이크온,22,0,0,0,1,0
Lg생활건강,21,0,1,0,0,0
Glow.M,21,1,1,0,0,0
Atflee - 앳플리,21,0,0,0,1,0
세상에서 가장 가벼운 프로틴바,21,0,0,0,0,0
유쓰,21,0,0,0,0,0
Kokozi,21,0,1,0,0,0
Dearcus,21,0,0,0,0,0
Voar - 보아르,21,0,0,0,1,0
벨바스킨,21,1,1,0,0,0
퍼니쇼,21,0,0,0,0,0
Comingle beauty,21,0,0,0,1,0
Meliens,21,0,1,0,0,0
반코르,21,1,1,0,0,0
LIBER,21,1,1,0,0,0
센텔리안24 마데카 프라임,21,0,0,0,1,0
디스턴싱 distancing,21,0,0,0,0,0
SARTU,20,0,0,0,0,0
이프 eif kr,20,0,0,0,1,0
moét,20,0,0,0,0,0
이즈앤트리,20,1,1,0,0,0
