brand_logo_id,brand_name_kr,brand_name_en,related_brands,insta_channel_id
97,피토틱스,phytotics,"시트루, 팍시다이어트",NULL
98,바이오힐보,"bio heal boh",NULL,NULL
100,닥터지,Dr.G,랩잇포어,NULL
101,넷마블,Netmarble,"그랜드크로스,  세븐나이츠,  일곱 개의 대죄: Origin, 세븐나이츠 키우기",NULL
102,스킨앤랩,skin&lab,NULL,NULL
103,웨이크메이크,wakemake,NULL,NULL
104,구달,goodal,NULL,NULL
105,어도비,adobe,"포토샵, 파이어플라이",NULL
106,미쟝센,mise-en-scène,"MISEENSCENE, 이너플렉스",NULL
107,메디힐,mediheal,NULL,NULL
108,힐링버드,"healing bird",NULL,NULL
109,라운드랩,"round lab",NULL,NULL
110,캠블리,cambly,NULL,NULL
111,노션,notion,NULL,NULL
112,LG생활건강,LG생활건강,"유시몰, 홈스타,  펫패밀리,  리치 치약,  피지 세제,  46cm, 리엔,  닥터노비드, 페리오",NULL
113,설탭,설탭,NULL,NULL
114,라퍼지스토어,"Lafudge store",라퍼지포우먼,NULL
115,닥터포헤어,Dr.ForHair,"폴리젠, 에어로",NULL
116,토리든,Torriden,NULL,NULL
117,에스쁘아,espoir,NULL,NULL
118,수이스킨,suiskin,NULL,NULL
119,설화수,Sulwhasoo,NULL,NULL
120,하킷,hakit,NULL,NULL
121,일상카페,"daily cafe",NULL,NULL
122,MSI,msi,NULL,NULL
123,셰프애찬,셰프애찬,NULL,NULL
124,로보락,Roborock,NULL,NULL
125,아모레퍼시픽,Amorepacific,구딸파리,NULL
126,인포카,inforcar,NULL,NULL
127,쿠캣,cookat,NULL,NULL
128,동아제약,동아제약,"필리더스, 가그린,  노스카나,  아일로, 아이봉, 템포,  오쏘뮬,  애크논, 아이오쿨, 박카스, 얼박, 모닝케어, 베나치오",NULL
129,인스타360,insta360,NULL,NULL
130,밀크터치,"Milk Touch",NULL,NULL
131,동원F&B,"Dongwon F&B","뷰틱, 그릴리, 뉴트리플랜, 동원",NULL
