channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UCCdCh7qLb-NR3kk8VTFyqig,125461,257885,4774,135016,0.39,0.34,-0.74,-200,92.66,518,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"의료 & 건강"
UCeMVG_xsUh7wJEHAic4G4AA,177813,103646,5821,241739,1.38,1.52,10.75,6000,72.9,310,NULL,튜토리얼,"리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","음식 & 음료"
UCEzhyH0n4igPooUJOVcq-HQ,89176,45570,9193,99414,1.83,2.09,7.62,8000,88.65,423,NULL,NULL,토크,NULL,"연애 & 결혼",NULL,"뷰티 & 메이크업"
UCff7sQ_kjCEPZvr8h8US8ww,65212,40954,15417,117459,0.85,1.14,4.29,7000,48.8,541,1,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"의료 & 건강"
UCfM7HC0wkS_cWVIcgpy2XPA,93538,52916,75326,124460,1.97,1.37,0.75,1000,37.07,777,7,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCFmfq1jsqJ8Zp0zMdFQ8Vmw,90544,27687,21144,95849,0.43,0.37,2.13,800,92.9,169,NULL,튜토리얼,꿀팁,"의료 & 건강","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강"
UCFYxrZHbGiZDxL6m8TZ30Qg,90168,10700,101147,89884,1.03,1.03,12.55,1160,79.17,48,NULL,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","경제 & 경영","교육 & 커리어"
UCgCxYP5uSCNyFTV-PEbKhew,85519,91607,88647,22611,0.35,0.1,-0.39,-3000,4.74,190,NULL,브이로그,하울,"뷰티 & 메이크업","뷰티 & 메이크업","여행 & 캠핑","패션 & 의류"
UCGhRiaKgkLlvPoBulWhX4gQ,16216,24192,20782,10343,0.81,0.12,0.54,200,43.74,679,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","여행 & 캠핑","음식 & 음료"
UCGN0_2kvsOwdwbJq5q3SVGQ,134302,81889,53400,220367,3.55,4.37,0,0,48.45,582,8,NULL,튜토리얼,NULL,"취미 & 공예 & 디자인",NULL,"일상 & 라이프스타일"
UCH6j6f4vxSlpeJGZCbPoePQ,179788,178346,225613,167505,1.86,1.91,24.35,28000,78.86,123,NULL,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일",엔터테인먼트,엔터테인먼트
UChLr0rJAhEZZTUKT577QECA,35313,6856,60190,29187,0.06,0.05,9.35,1300,80.24,167,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","의료 & 건강","뷰티 & 메이크업",NULL,"의료 & 건강"
UChr2Yvl1kepJWL2Q8sX2Udg,46051,28851,41993,77226,1.07,0.26,1.66,3000,11.52,521,NULL,"리뷰 & 언박싱",꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강","의료 & 건강"
UCHRS52TjwxpKz_VRKPGQ0pA,31560,10588,13027,41144,0.76,0.89,2.33,500,66.08,283,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","교육 & 커리어",육아
UCHVQjs3d-SmRuFtJurp84QQ,2020,1654,1749,2317,2.49,2.93,-0.33,-30,47.67,688,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","음식 & 음료","음식 & 음료","리빙 & 인테리어","뷰티 & 메이크업"
UChYUp6gv-SWom7oIdPfrzaA,3847,5354,1992,4653,2.07,0.23,1.58,500,69.77,1373,NULL,"라이브 영상",튜토리얼,"IT & 전자기기",음악,엔터테인먼트,"일상 & 라이프스타일"
UCI52io2NXrmHjXpVB3sVbDg,2151,1697,1677,2485,0.79,1.78,0,0,58.6,401,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업",NULL,"음식 & 음료"
UCiAzDHGJTIjlXZZKj9aErWw,22817,18168,22473,23435,1.21,1.5,7.14,4100,35.74,610,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","패션 & 의류"
UCiL9JJtFwbQsPDeHADSXstA,72508,51164,82397,55648,1.21,1.5,2.17,5000,36.97,587,NULL,토크쇼,토크,"연애 & 결혼","연애 & 결혼","주식 & 투자","일상 & 라이프스타일"
UCiMoJJB8OYePXFso2jSscYA,558,492,367,756,0.13,0.03,0.11,10,49.2,437,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","여행 & 캠핑","뷰티 & 메이크업","음식 & 음료","음식 & 음료"
UCJjwunfIpTvVsJrWIeiprlA,2384,1616,3995,1152,2.15,0.09,-1.8,-200,56.66,353,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","IT & 전자기기","뷰티 & 메이크업","음식 & 음료","음식 & 음료"
UCJNqzcBpWK3Gt6IE1MxRr_Q,3109,3590,1214,3687,0.47,0.39,48.24,3840,76.6,265,NULL,꿀팁,꿀팁,"의료 & 건강","의료 & 건강","음식 & 음료","음식 & 음료"
UCkh6TlSape86-iHiehXvsmA,528142,463382,449653,622041,1.34,1.14,1.17,6000,45.53,481,41,브이로그,브이로그,"일상 & 라이프스타일","뷰티 & 메이크업",육아,육아
