channel_id,channel_title,video_id,video_url,ads_yn,subscribers,views,likes,comments,video_title,publishDate,brand_name,matched_keyword,updated_at
UCvKl2U_gJeXRYGJKecvPcYA,오늘유정 ONEUL,OQwKotr7bQM,https://www.youtube.com/watch?v=OQwKotr7bQM,0,7430,1900,6,0,#광고 전직 뷰티 마케터가 픽한 레티놀템 .. ⋆⁺₊⋆,2026-04-13,LG생활건강,,2026-04-28T00:00:00.000000
UCA5CvI96Q7XtiRIxmajRzWw,찐광커플 JJINGWANG COUPLE,f_jJC0_MuaQ,https://www.youtube.com/watch?v=f_jJC0_MuaQ,0,2320,389,0,0,🐶기름 필수템‼️ | 이니스프리 노세범 올리브영 신상 #지성피부 #파우더추천,2026-03-30,LG생활건강,,2026-04-28T00:00:00.000000
UCPur_FJRVR-vKvAz1xvwq6w,앵은ANGEUN,SfMDwSYOHpE,https://www.youtube.com/watch?v=SfMDwSYOHpE,0,1460,1500,13,0,유분 하도 올라와서 흐린눈하는 지성피부… 저뿐인가요?,2026-03-31,LG생활건강,,2026-04-28T00:00:00.000000
UCx0ZL5ldCGMqkOGqyO1qOkw,트위티 (Tweety),g3nUVa9yJBQ,https://www.youtube.com/watch?v=g3nUVa9yJBQ,0,751000,137145,1589,226,"첫뮤지컬봄🎭성수 아이옷쇼핑 코스, 봄동비빔밥 대박 짱맛, 첫해외여행 후유증🫠",2026-04-03,LG생활건강,,2026-04-28T00:00:00.000000
UCkh6TlSape86-iHiehXvsmA,yoovlog,3HIMbf9zsXc,https://www.youtube.com/watch?v=3HIMbf9zsXc,0,519000,293805,3511,434,"춘천 1박2일 벚꽃 먹방🌸 말 느는 20개월, 건강식추천, 어린이집준비물, 닭갈비, 커피맛집, 춘천여행",2026-04-06,LG생활건강,보습,2026-04-28T00:00:00.000000
UCZCvbWrBFGQeZwf5qczqLFg,YOOTRUE ON AIR,U1rADeHcvbo,https://www.youtube.com/watch?v=U1rADeHcvbo,0,511000,47548,599,62,선크림 QnA☀️ 선크림 후 세안? 피부 떠요ㅠㅠ 선크림 바르는법! 몸에 선크림은요? 경품 터지는 챌린지!,2026-03-30,LG생활건강,,2026-04-28T00:00:00.000000
UCEzhyH0n4igPooUJOVcq-HQ,슈히Shoohee,DCoZIZuAFBc,https://www.youtube.com/watch?v=DCoZIZuAFBc,0,113000,24000,223,21,남편이랑 같이 첫 피부과 데이트,2026-04-01,LG생활건강,진정,2026-04-28T00:00:00.000000
UCLvk76DFmbHIveAvYUDajUg,뷰티나니?BeautyNANI?,tM7GlYqG-DA,https://www.youtube.com/watch?v=tM7GlYqG-DA,0,66000,2700,18,9,계절 바뀔 때마다갑자기 피부 뒤집어지는 사람 꼭 써보세요..💙ㅣ민감성피부 스킨케어 추천,2026-04-01,LG생활건강,"스킨케어, 진정",2026-04-28T00:00:00.000000
UCsr9eUfntn_WNKBdPGjhFNA,지똥,6wAWCXmNhMs,https://www.youtube.com/watch?v=6wAWCXmNhMs,0,53300,834,7,0,[에스트라] 에이시카 365리페어 크림 (재생크림),2026-04-03,LG생활건강,,2026-04-28T00:00:00.000000
UCwyR-5gp7NCd-2DwLtdCtcw,뷰티바이쥬씨 BEAUTY by JUICY,ri1D6b3oGuQ,https://www.youtube.com/watch?v=ri1D6b3oGuQ,0,44200,1100,6,0,피부 뒤집힌 날? 시카 판테놀 이거 하나면 3일이면 정리돼요✨,2026-04-06,LG생활건강,진정,2026-04-28T00:00:00.000000
