channel_id,average_views,average_views_ads,average_views_except_short,average_views_short,engagement_rate,engagement_rate_last_10,subs_growth_3_months,subs_growth_3_months_amount,short_ratio,total_videos,trend_count,format1_long,format1_short,topic1_long,topic1_short,topic2_long,topic2_short
UCRamIU-v2CiERMLJvd3o51Q,292285,79936,152120,515969,1.05,1.45,-1.04,-2000,38.52,501,4,브이로그,토크,"일상 & 라이프스타일","사회 & 이슈","사회 & 이슈","음식 & 음료"
UCRCVQH7dJJ4T6RKrJ0_z25Q,471,NULL,265,620,1.2,4.16,19.7,650,51.57,3556,NULL,자동차,음악,자동차,음악,"뉴스 & 정치","뉴스 & 정치"
UCREwWGTy6b1nKqAbOnifZXg,14249,9786,1967,14633,0.36,0.36,20.22,360,96.97,231,NULL,NULL,음악,NULL,음악,NULL,NULL
UCRf7Duoz-kvpB7yKBDJHCfg,28444,45755,27436,29387,1.63,1.61,1.02,3000,51.67,2669,NULL,강의,강의,"리빙 & 인테리어","리빙 & 인테리어",부동산,부동산
UCrgI2A-vBgeZBwyrsobvWHA,1828,NULL,7400,913,0.92,1.06,7.81,470,85.9,468,NULL,브이로그,브이로그,"여행 & 캠핑","여행 & 캠핑","레저 & 스포츠","음식 & 음료"
UCRGMUvoMqZ-nmVoDEaehmqg,1640843,NULL,NULL,1640843,NULL,NULL,11.97,6800,100,252,NULL,NULL,"예능형 콘텐츠",NULL,게임,NULL,"레저 & 스포츠"
UCrH2v3rz2B8cjn457Dzh_aQ,1271,NULL,811,1754,3.11,2.12,2.5,60,48.75,599,NULL,튜토리얼,튜토리얼,"레저 & 스포츠","피트니스 & 다이어트","피트니스 & 다이어트",음악
UCRiIf6rt91BVfZVtURRXlOw,392018,300672,177064,701166,2.32,2.63,2,7000,41.01,434,22,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCrjYEmFXxt2vzIUrV9h5HQA,1077,NULL,212,1216,2.85,0.97,25.12,1010,86.13,613,NULL,강의,강의,"사회 & 이슈","의료 & 건강","경제 & 경영","음식 & 음료"
UCRK1Ohk5k-iY_bOfkbagEWA,6223,4628,8531,4427,1.22,1.9,5.04,600,55.56,270,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","리빙 & 인테리어","여행 & 캠핑"
UCrlqF_4ePI1h02gKjIG0n2w,16089,NULL,18069,6891,0.12,0.1,0,0,17.71,672,NULL,브이로그,토크쇼,육아,"교육 & 커리어",음악,육아
UCrMYC52XATjygreQexj3DVw,13468,NULL,9930,59770,0.13,0.2,25,1550,7.1,324,NULL,음악,음악,음악,음악,NULL,NULL
UCrNISLWm4d6SRf8AUjoGm1g,63108,51030,57679,77713,1.53,1.28,31.68,25500,27.1,155,NULL,꿀팁,꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일","일상 & 라이프스타일"
UCRnqEY8J6HZ25p4BhkeI2-w,2812,NULL,1505,3149,3.53,1.55,0.23,100,79.49,629,NULL,NULL,튜토리얼,NULL,"취미 & 공예 & 디자인",NULL,"뷰티 & 메이크업"
UCrqaC5YBq05K1ZnkmSW0j-g,60991,16955,73489,25062,2.51,2.02,3.57,1500,25.81,31,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업",NULL,NULL
UCrRhwzalK9blRdmwPemcCAw,530918,178780,541894,51667,0.08,0.96,0,0,2.24,268,NULL,브이로그,브이로그,"일상 & 라이프스타일","음식 & 음료","음식 & 음료",NULL
UCrskXsFaIZYYhjMR73ypEWA,1034,NULL,1341,915,0.99,1.8,8.05,120,71.97,767,NULL,다큐멘터리,다큐멘터리,"IT & 전자기기","음식 & 음료","리빙 & 인테리어","IT & 전자기기"
UCrSZ2M3kkxMUTCcBzaPs00w,2361,NULL,4616,1153,0.87,0.84,NULL,NULL,63.95,86,NULL,NULL,자동차,NULL,자동차,NULL,NULL
UCrvcbKWESDn3FkB3v2CUUow,1402,NULL,883,1574,5.34,6.88,-0.42,-100,75.04,661,NULL,음악,음악,음악,음악,NULL,NULL
UCRvCTb2VvBp-xU27gj03DbA,120562,NULL,9308,124559,1.23,1.23,19.83,1160,96.53,173,NULL,NULL,코미디,NULL,게임,NULL,"동물 (펫)"
UCRXFTDe14-elvteC4wb5-FQ,6539,NULL,4685,27063,0.47,2.13,2.11,700,8.32,853,NULL,음악,음악,음악,음악,NULL,NULL
UCRXL4vnST2AE6UtjrYMv4tw,346703,241988,38921,449346,1.31,1.85,0.23,1000,75,640,9,"리뷰 & 언박싱",꿀팁,"뷰티 & 메이크업","뷰티 & 메이크업","일상 & 라이프스타일",엔터테인먼트
UCRxZnpz49GGeLcrTgISk67w,7557,2834,10457,2502,0.56,1.96,27.52,1990,36.46,96,NULL,강의,꿀팁,"동물 (펫)","동물 (펫)",육아,NULL
UCs10x-muRrTQMJ4Ya-fmIlw,1374,NULL,460,2227,0.75,0.87,1.78,1100,51.72,116,NULL,강의,강의,"IT & 전자기기","IT & 전자기기","레저 & 스포츠","사회 & 이슈"
UCS2qgKMDhuKGPEIxGNwJfMA,38323,5897,34066,57780,0.11,1.22,2.48,1000,23.13,415,NULL,"리뷰 & 언박싱",튜토리얼,"IT & 전자기기","IT & 전자기기","여행 & 캠핑","음식 & 음료"
UCs3-hF7UUTP6LCiuM6d2wow,15074,6000,4178,19347,0.85,1.52,35.83,306,71.83,71,NULL,"리뷰 & 언박싱","리뷰 & 언박싱","패션 & 의류","뷰티 & 메이크업",NULL,NULL
UCs5NQ3QgQ33MMDagm_xp-9w,648,NULL,26,892,4.2,3.39,12.84,124,70.32,950,NULL,NULL,튜토리얼,NULL,"피트니스 & 다이어트",NULL,NULL
UCS6GXGMTU9MeDI00PvjH7Rw,6920,NULL,7880,4964,2.68,1.78,0,0,32.91,2206,2,음악,음악,음악,음악,NULL,NULL
UCs94I0lv0pEO8slwn2dqR9Q,23365,22631,16789,41285,1.66,1.34,3.33,1100,26.85,149,NULL,하울,하울,"패션 & 의류","패션 & 의류","여행 & 캠핑","리빙 & 인테리어"
UCsCCiWcxxVvYPo-k6pTzWhg,405,91,104,760,1.41,3.54,4.21,220,45.95,259,NULL,"뉴스 & 정치","뉴스 & 정치","뉴스 & 정치","뉴스 & 정치",NULL,NULL
UCSctlSk_PHmvxTEigDW6YFQ,26008,NULL,1497,35335,1.88,1.39,9.81,4100,72.44,878,NULL,강의,튜토리얼,"교육 & 커리어","교육 & 커리어",NULL,"연애 & 결혼"
UCSGC87iX0QhnIfUOI_B_Rdg,412873,201865,470517,11627,0.51,0.5,0,0,12.56,406,NULL,음악,음악,음악,음악,NULL,NULL
UCSHbm2TrspNZ_p_yd39kMNg,278246,83579,372629,102351,0.21,0.22,3.87,12000,34.92,1134,6,예고편,토크,"금융 & 보험","금융 & 보험",엔터테인먼트,엔터테인먼트
UCSJIqOWTb_1OBEriO0BwobA,1176,NULL,628,2502,1.21,0.67,24.81,320,29.28,403,NULL,강의,다큐멘터리,"IT & 전자기기","IT & 전자기기",자동차,자동차
UCSkaixM5p8mYuBIdy2J0ZHw,2926,2483,4234,3480,0.71,2.67,0.78,2000,9.28,959,NULL,브이로그,"라이브 영상","여행 & 캠핑",엔터테인먼트,"음식 & 음료","음식 & 음료"
UCSkGWmFUiTszAa_N_AT2SFA,86841,10287,87186,79036,0.78,0.75,12.28,57000,4.24,661,7,브이로그,브이로그,엔터테인먼트,"패션 & 의류","피트니스 & 다이어트",엔터테인먼트
UCsnF8VHFIEIDpFYfRJb27uQ,144292,NULL,31851,191789,0.09,0.07,12.32,43000,70.3,2081,NULL,게임,게임,게임,게임,NULL,NULL
UCSPjRLWDAyePXM37nujuw6A,10276,3255,3568,12139,0.72,0.57,8.57,1200,78.26,230,NULL,튜토리얼,튜토리얼,"뷰티 & 메이크업","뷰티 & 메이크업",NULL,"패션 & 의류"
UCSRbmJdBGJXtZBqi7lQRkpA,20446,16612,20000,20713,1.36,1.38,7.32,2100,62.53,387,NULL,브이로그,"리뷰 & 언박싱","패션 & 의류","패션 & 의류","여행 & 캠핑","여행 & 캠핑"
UCsRdY9CtEVWTNO4ulwfzqVA,40850,NULL,5811,99431,0.12,0.22,4.06,1100,37.43,171,NULL,강의,강의,"IT & 전자기기","IT & 전자기기",NULL,엔터테인먼트
UCSRosOBUNQS6nFj9O8L1sFQ,1104,NULL,159,1166,1.24,8.78,6.45,800,93.81,1776,NULL,뮤직비디오,뮤직비디오,음악,음악,NULL,종교
UCsRVrAgxAPgBC3rXqd8TEdA,2135,1920,2301,2017,1.22,1.25,0,0,58.39,298,NULL,브이로그,브이로그,"일상 & 라이프스타일","일상 & 라이프스타일","여행 & 캠핑",육아
UCsUPtZO0S81TsuKlkEO5NeA,1253,2100,1491,1052,1.52,1.28,5.93,70,54.12,170,NULL,브이로그,브이로그,"음식 & 음료","음식 & 음료","일상 & 라이프스타일",엔터테인먼트
UCswswtfy3earKZihPuRwX5Q,44611,NULL,10478,45098,0.95,0.95,41.73,11600,98.78,654,NULL,기타,기타,기타,기타,"IT & 전자기기","IT & 전자기기"
UCSxhYq6K0mxF24SmMGeNNQA,206957,219424,206957,NULL,1.59,1.49,0.6,2000,NULL,160,25,브이로그,NULL,"여행 & 캠핑",NULL,"일상 & 라이프스타일",NULL
UCsyCCH1h0Xf4AOvBFKategg,120833,NULL,59063,121262,1.3,1.3,6.35,3300,99.31,434,NULL,리액션,"예능형 콘텐츠",엔터테인먼트,엔터테인먼트,NULL,"일상 & 라이프스타일"
UCT0hOMxD29g2B6BrK6QTIag,182162,46000,NULL,183223,NULL,NULL,84.1,8360,99.41,170,NULL,NULL,"리뷰 & 언박싱",NULL,"뷰티 & 메이크업",NULL,"음식 & 음료"
UCT4mnsnviyX6LCzLT8h-ORA,76992,NULL,88,78283,4.55,4.55,10.49,1500,98.33,120,NULL,NULL,음악,NULL,음악,NULL,NULL
UCtC7h8T0WuilsqbozrMOZ4A,8334,NULL,17155,6369,1.76,2.36,8.19,810,73.75,339,NULL,토크쇼,토크,"연애 & 결혼","일상 & 라이프스타일",엔터테인먼트,엔터테인먼트
UCTdBl-ksjdObuasuuPCydkQ,323598,41600,NULL,323598,NULL,NULL,67.32,5190,100,138,NULL,NULL,"예능형 콘텐츠",NULL,"의료 & 건강",NULL,"일상 & 라이프스타일"
UCtEx1WbyWlku8JfbOwqaAnA,77867,NULL,1988,97445,1,1.11,27.72,10700,79.49,746,NULL,튜토리얼,튜토리얼,"취미 & 공예 & 디자인","취미 & 공예 & 디자인",음악,음악
UCTg0cq8gWSbmepuO6Fsv5eQ,675,NULL,207,880,3.12,6.62,10.27,150,69.66,1134,NULL,강의,강의,"의료 & 건강","음식 & 음료","음식 & 음료","의료 & 건강"
UCTmeu3zduIzeJVPE22XClsA,5751,NULL,2745,14675,1.04,0.93,2.31,300,25.19,389,NULL,브이로그,리액션,"교육 & 커리어",엔터테인먼트,"일상 & 라이프스타일","교육 & 커리어"
UCtPACma2rZI--zevey3fBtw,8554,12380,9827,6108,1.61,0.95,0.93,200,34.24,406,NULL,"리뷰 & 언박싱",하울,"패션 & 의류","패션 & 의류","일상 & 라이프스타일",NULL
UCtpTYaQdLgjVdFgv39paPSw,12014,45361,1000,12379,0.12,0.12,71.02,652,96.79,156,NULL,ASMR,"리뷰 & 언박싱","교육 & 커리어","뷰티 & 메이크업",NULL,"패션 & 의류"
UCTQGAYPtbnCEfW9IGx65kiw,161035,180797,161373,157051,1.04,1.86,0,0,7.82,499,9,"리뷰 & 언박싱","리뷰 & 언박싱","뷰티 & 메이크업","뷰티 & 메이크업","의료 & 건강",NULL
UCTqJ69kiphji6gI23VzZ1LA,5538,NULL,6051,2775,1.59,5.03,22.08,1230,15.66,281,NULL,튜토리얼,튜토리얼,"피트니스 & 다이어트","피트니스 & 다이어트","레저 & 스포츠","레저 & 스포츠"
UCTvd5lUSLtTH8Qcd7Pl1nQg,3375,NULL,2022,4626,2.45,1.82,7.98,4500,55.09,167,NULL,튜토리얼,튜토리얼,"IT & 전자기기","IT & 전자기기","리빙 & 인테리어","수학 & 과학"
UCtxvXNz6_tgbA1pMGyt2F5w,34782,NULL,913,36535,1.32,0.73,23.08,4800,95.08,1077,NULL,강의,강의,"교육 & 커리어","교육 & 커리어",NULL,게임
UCTYlPJkF-qtLVUYmUCrLU4g,13742,NULL,1449,19182,3.89,3.28,24.95,1220,69.32,502,NULL,뮤직비디오,브이로그,음악,음악,엔터테인먼트,엔터테인먼트
UCTYW7FkhhAC_D9Vy-ftrj-Q,34197,NULL,27895,132195,0.47,0.62,16.43,3400,6.04,331,NULL,"뉴스 & 정치","뉴스 & 정치","뉴스 & 정치","뉴스 & 정치",엔터테인먼트,NULL
UCtzMH2YEWQsNXZXwvO3yjeA,84946,49986,33431,152386,1.92,2.87,49.88,20500,43.41,258,NULL,브이로그,브이로그,"일상 & 라이프스타일","여행 & 캠핑","여행 & 캠핑","일상 & 라이프스타일"
UCU-sMKxICmoPVeQ82dPDC8g,88804,42353,32542,139206,0.47,1.05,4.46,1000,52.75,91,NULL,튜토리얼,튜토리얼,"레저 & 스포츠","피트니스 & 다이어트","피트니스 & 다이어트","레저 & 스포츠"
UCU1qTK2t6vTy4jTODY9sXZA,616,NULL,156,879,0.92,0.7,1.03,200,63.62,1358,NULL,NULL,강의,NULL,"교육 & 커리어",NULL,"IT & 전자기기"
