app,http_methods,url_path,norm_path,view_ref,view_file,tables_touched,usage,match_type,confidence,frontend_hits,evidence_files
instagram,GET,/instagram/creator-ads-repartition/<str:user_id>,/instagram/creator-ads-repartition/:PARAM,InstagramCreatorAdsRepartitionView,instagram/views.py,instagram_post,CALLED,exact,HIGH,2,src/service/report/ig-creator.js | src/service/report/ig-creator.js
instagram,GET,/instagram/creator-industries-repartition/<str:user_id>,/instagram/creator-industries-repartition/:PARAM,InstagramCreatorIndustriesRepartitionView,instagram/views.py,instagram_ppl_brand,CALLED,exact,HIGH,2,src/service/report/ig-creator.js | src/service/report/ig-creator.js
instagram,GET,/instagram/creator-stats-same-range/<str:user_id>,/instagram/creator-stats-same-range/:PARAM,InstagramCreatorStatsSameRangeView,instagram/views.py,instagram_user_benchmark,CALLED,exact,HIGH,2,src/service/report/ig-creator.js | src/service/report/ig-creator.js
instagram,DELETE|GET|POST|PUT,/instagram/creator-listup-filters,/instagram/creator-listup-filters,InstagramCreatorListupFiltersView,instagram/views.py,ingwanggi_creator_listup_filters|ugwanggi_partner_team_link|users_ugwanggi,CALLED,exact,HIGH,8,src/service/ig-partner/ig-creator-db.js | src/service/ig-partner/ig-creator-db.js | src/service/ig-partner/ig-creator-db.js
instagram,POST,/instagram/automation/setup-profile,/instagram/automation/setup-profile,InstagramAutomationSetupProfileView,instagram/views.py,,UNCALLED,,HIGH,0,
instagram,POST,/instagram/automation/post,/instagram/automation/post,InstagramAutomationPostView,instagram/views.py,,UNCALLED,,HIGH,0,
instagram,GET,/instagram/account/list,/instagram/account/list,InstagramAccountListView,instagram/views.py,instagram_accounts,UNCALLED,,HIGH,0,
instagram,DELETE|POST,/instagram/save-creator,/instagram/save-creator,SavedInstagramCreatorView,instagram/views.py,saved_youtuber_brand_folders|ugwanggi_ig_creator_saved|users_ugwanggi,CALLED,exact,HIGH,4,src/service/bookmark.js | src/service/bookmark.js | src/service/bookmark.js
instagram,POST,/instagram/save-creator-list,/instagram/save-creator-list,SavedInstagramCreatorListView,instagram/views.py,instagram_user|instagram_user_analysis_categories|instagram_user_analysis_topic|instagram_user_stat|saved_youtuber_brand_folders|ugwanggi_ig_creator_saved|users_ugwanggi,CALLED,exact,HIGH,2,src/service/bookmark.js | src/service/bookmark.js
instagram,GET,/instagram/creator-ranking-admin-presets,/instagram/creator-ranking-admin-presets,InstagramCreatorRankingAdminPresetsView,instagram/views.py,instagram_creator_ranking_presets_admin_v2|instagram_creator_ranking_ticket_usages|users_ugwanggi,CALLED,exact,HIGH,2,src/service/ig-ranking.js | src/service/ig-ranking.js
instagram,POST,/instagram/creator-ranking-preset-detail,/instagram/creator-ranking-preset-detail,InstagramCreatorRankingPresetDetailView,instagram/views.py,instagram_creator_ranking_preset_keywords|instagram_creator_ranking_presets|instagram_creator_ranking_presets_admin_v2|users_ugwanggi,CALLED,exact,HIGH,2,src/service/ig-ranking.js | src/service/ig-ranking.js
instagram,POST,/instagram/creator-ranking-user-presets,/instagram/creator-ranking-user-presets,InstagramCreatorRankingUserPresetsView,instagram/views.py,instagram_creator_ranking_preset_keywords|instagram_creator_ranking_presets|users_ugwanggi,CALLED,exact,HIGH,2,src/service/ig-ranking.js | src/service/ig-ranking.js
instagram,POST,/instagram/creator-ranking-user-presets-create,/instagram/creator-ranking-user-presets-create,InstagramCreatorRankingUserPresetsCreateView,instagram/views_create_preset.py,instagram_creator_ranking_llm_usage_log|instagram_creator_ranking_preset_keywords|instagram_creator_ranking_presets|instagram_creator_ranking_ticket_usages|users_ugwanggi,CALLED,exact,HIGH,2,src/service/ig-ranking.js | src/service/ig-ranking.js
instagram,POST,/instagram/creator-ranking-user-presets-delete/<int:preset_id>,/instagram/creator-ranking-user-presets-delete/:PARAM,InstagramCreatorRankingUserPresetsDeleteView,instagram/views_create_preset.py,instagram_creator_ranking_preset_keywords|instagram_creator_ranking_presets|users_ugwanggi,CALLED,exact,HIGH,2,src/service/ig-ranking.js | src/service/ig-ranking.js
instagram,POST,/instagram/creator-ranking-count,/instagram/creator-ranking-count,InstagramCreatorRankingCountView,instagram/views.py,,CALLED,exact,HIGH,2,src/service/ig-ranking.js | src/service/ig-ranking.js
instagram,POST,/instagram/creator-ranking/request-access,/instagram/creator-ranking/request-access,InstagramCreatorRankingRequestAccessView,instagram/views_ranking_access.py,instagram_creator_ranking_presets|instagram_creator_ranking_presets_admin_v2|users_ugwanggi,CALLED,exact,HIGH,2,src/service/ig-ranking.js | src/service/ig-ranking.js
instagram,POST,/instagram/creator-ranking,/instagram/creator-ranking,InstagramCreatorRankingV2View,instagram/views_ranking_v2.py,instagram_creator_ranking_preset_keywords|instagram_creator_ranking_presets|instagram_creator_ranking_presets_admin_v2|instagram_creator_ranking_ticket_usages|instagram_post|users_ugwanggi,CALLED,exact,HIGH,2,src/service/ig-ranking.js | src/service/ig-ranking.js
instagram,POST,/instagram/similar-creators,/instagram/similar-creators,InstagramSimilarCreatorsV2View,instagram/views.py,users_ugwanggi,CALLED,exact,HIGH,2,src/service/report/ig-creator.js | src/service/report/ig-creator.js
instagram,POST,/instagram/ask-similar-creators-access,/instagram/ask-similar-creators-access,AskSimilarCreatorAccessView,instagram/views.py,ingwanggi_similar_creator_access|ugwanggi_linked_user|ugwanggi_partners|users_ugwanggi,CALLED,exact,HIGH,2,src/service/ticket.js | src/service/ticket.js
instagram,GET,/instagram/can-access-similar-creator/<str:user_id>,/instagram/can-access-similar-creator/:PARAM,CanAccessSimilarCreatorView,instagram/views.py,users_ugwanggi,CALLED,exact,HIGH,2,src/service/report/ig-creator.js | src/service/report/ig-creator.js
instagram_admin,POST,/instagram-admin/extracted-brands-not-in-db,/instagram-admin/extracted-brands-not-in-db,ExtractedBrandsNotInDBView,instagram_admin/views.py,brand_logo|instagram_brand_exclusion_keyword|instagram_brand_matching_track|instagram_post|instagram_post_analysis_llm_log|instagram_ppl_brand,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
instagram_admin,POST,/instagram-admin/exclusion-keyword,/instagram-admin/exclusion-keyword,AddExclusionKeywordView,instagram_admin/views.py,instagram_brand_exclusion_keyword,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
instagram_admin,GET,/instagram-admin/exclusion-keywords,/instagram-admin/exclusion-keywords,ListExclusionKeywordsView,instagram_admin/views.py,instagram_brand_exclusion_keyword,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
instagram_admin,DELETE,/instagram-admin/exclusion-keyword/<int:keyword_id>,/instagram-admin/exclusion-keyword/:PARAM,DeleteExclusionKeywordView,instagram_admin/views.py,instagram_brand_exclusion_keyword,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
instagram_admin,POST,/instagram-admin/brand-posts,/instagram-admin/brand-posts,BrandPostsView,instagram_admin/views.py,instagram_brand_matching_track|instagram_hashtag|instagram_post|instagram_post_analysis_llm_log|instagram_post_description|instagram_post_stat_trend|instagram_ppl_brand,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
instagram_admin,POST,/instagram-admin/add-brand-to-posts,/instagram-admin/add-brand-to-posts,AddBrandToPostsView,instagram_admin/views.py,brand_logo|instagram_brand_matching_track|instagram_post_analysis_llm_log|instagram_ppl_brand,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
instagram_admin,POST,/instagram-admin/add-brand-to-posts-by-ids,/instagram-admin/add-brand-to-posts-by-ids,AddBrandToPostsByIdsView,instagram_admin/views.py,brand_logo,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
instagram_admin,GET,/instagram-admin/extracted-user-list,/instagram-admin/extracted-user-list,ExtractedUserListView,instagram_admin/views.py,instagram_user,UNCALLED,,HIGH,0,
instagram_admin,PUT,/instagram-admin/update-extracted-user-check,/instagram-admin/update-extracted-user-check,UpdateExtractedUserCheckView,instagram_admin/views.py,instagram_user,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
instagram_admin,GET,/instagram-admin/check-user-count,/instagram-admin/check-user-count,CheckUserCountView,instagram_admin/views.py,instagram_user,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
instagram_admin,GET,/instagram-admin/check-user/<str:user_id>,/instagram-admin/check-user/:PARAM,CheckUserView,instagram_admin/views.py,instagram_user|temp_instagram_crawl_channel,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
instagram_admin,POST,/instagram-admin/add-user-to-crawl-queue,/instagram-admin/add-user-to-crawl-queue,AddUserToCrawlQueueView,instagram_admin/views.py,instagram_user|temp_instagram_crawl_channel,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
instagram_admin,POST,/instagram-admin/remove-user-from-crawl-queue,/instagram-admin/remove-user-from-crawl-queue,RemoveUserFromCrawlQueueView,instagram_admin/views.py,temp_instagram_crawl_channel,CALLED,exact,HIGH,2,src/service/admin-api.js | src/service/admin-api.js
keywords,GET,/keywords/naver-keyword,/keywords/naver-keyword,NaverKeywordView,keywords/views.py,,UNCALLED,,HIGH,0,
kpi,GET,/kpi/customers,/kpi/customers,CustomerView,kpi/views.py,ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/mrr,/kpi/mrr,MRRView,kpi/views.py,ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/arr,/kpi/arr,ARRView,kpi/views.py,ugwanggi_mrr|ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/mau,/kpi/mau,MAUViews,kpi/views.py,,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/active-customers,/kpi/active-customers,ActiveCustomersView,kpi/views.py,ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/new-customers,/kpi/new-customers,NewCustomersView,kpi/views.py,ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/churned-customers,/kpi/churned-customers,ChurnedCustomersView,kpi/views.py,ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/churned-customer-rate,/kpi/churned-customer-rate,ChurnedCustomerRateView,kpi/views.py,ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/revenue-retention,/kpi/revenue-retention,RevenueRetentionView,kpi/views.py,ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/customer-lifetime-value,/kpi/customer-lifetime-value,CustomerLifetimeValueView,kpi/views.py,ugwanggi_subscription|users_ugwanggi,CALLED,exact,HIGH,2,src/service/admin-business.js | src/service/admin-business.js
kpi,GET,/kpi/monthly-revenue,/kpi/monthly-revenue,MonthlyRevenueView,kpi/views.py,ugwanggi_payment_history|ugwanggi_subscription,UNCALLED,,HIGH,0,
