from_app,from_model,from_table,from_field,from_column,relation_type,to_model,to_table,to_column,on_delete,null,from_col_in_schema,to_col_in_schema,from_table_used,to_table_used,file
express,ChatMessage,ugwanggi_express_chat_message,room_id,room_id,ForeignKey,ChatRoom,ugwanggi_express_chat_room,room_id,DO_NOTHING,False,True,True,True,True,express/models/realtime.py
express,UgwanggiExpressBrandInfo,ugwanggi_express_brand_info,brand_logo_id,brand_logo_id,ForeignKey,BrandLogo,brand_logo,brand_logo_id,DO_NOTHING,False,True,True,True,True,express/models/brand_campaign.py
express,UgwanggiExpressBrandCampaigns,ugwanggi_express_brand_campaigns,brand_logo_id,brand_logo_id,ForeignKey,BrandLogo,brand_logo,brand_logo_id,DO_NOTHING,False,True,True,True,True,express/models/brand_campaign.py
express,UgwanggiExpressAdslots,ugwanggi_express_adslots,studio_id,studio_id,ForeignKey,UgwanggiExpressStudioInfo,ugwanggi_express_studio_info,studio_id,DO_NOTHING,True,True,True,True,True,express/models/base.py
express,UgwanggiExpressAdslots,ugwanggi_express_adslots,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,DO_NOTHING,True,True,True,True,True,express/models/base.py
express,UgwanggiExpressAdslotPricing,ugwanggi_express_adslot_pricing,adslot_id,adslot_id,ForeignKey,UgwanggiExpressAdslots,ugwanggi_express_adslots,adslot_id,DO_NOTHING,False,True,True,True,True,express/models/base.py
express,UgwanggiExpressAdslotEmailReadState,ugwanggi_express_adslot_email_read_state,adslot_id,adslot_id,ForeignKey,UgwanggiExpressAdslots,ugwanggi_express_adslots,adslot_id,DO_NOTHING,True,True,True,True,True,express/models/base.py
express,UgwanggiExpressStudioMembers,ugwanggi_express_studio_members,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,DO_NOTHING,False,True,True,True,True,express/models/base.py
express,UgwanggiExpressStudioMembers,ugwanggi_express_studio_members,studio_id,studio_id,ForeignKey,UgwanggiExpressStudioInfo,ugwanggi_express_studio_info,studio_id,DO_NOTHING,False,True,True,True,True,express/models/base.py
express,UgwanggiExpressStudioChannels,ugwanggi_express_studio_channels,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,DO_NOTHING,True,True,True,True,True,express/models/base.py
express,UgwanggiExpressUsersBrand,ugwanggi_express_users_brand,brand_logo_id,brand_logo_id,ForeignKey,BrandLogo,brand_logo,brand_logo_id,CASCADE,False,True,True,True,True,express/models/base.py
express,UgwanggiExpressApplications,ugwanggi_express_applications,user_id,user_id,ForeignKey,User,users_ugwanggi,user_id,DO_NOTHING,False,True,True,True,True,express/models/base.py
express,UgwanggiExpressApplicationsAdminCheck,ugwanggi_express_applications_admin_check,application_id,application_id,ForeignKey,UgwanggiExpressApplications,ugwanggi_express_applications,id,DO_NOTHING,False,True,True,True,True,express/models/base.py
oliveyoung,OliveYoungProductReview,oliveyoung_product_review,product_id,product_id,ForeignKey,OliveYoungProductInfo,oliveyoung_product_info,product_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveYoungProductViews,oliveyoung_product_views2,product_id,product_id,ForeignKey,OliveYoungProductInfo,oliveyoung_product_info,product_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveYoungRealtimeViews,oliveyoung_realtime_views,product_id,product_id,OneToOneField,OliveYoungProductInfo,oliveyoung_product_info,product_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveYoungTrend,oliveyoung_trend_m,product_id,product_id,ForeignKey,OliveYoungProductInfo,oliveyoung_product_info,product_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveYoungTrendRank,oliveyoung_trend_m_rank,product_id,product_id,ForeignKey,OliveYoungProductInfo,oliveyoung_product_info,product_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveYoungProductVideo,oliveyoung_product_video,video_id,video_id,OneToOneField,OliveYoungVideoList,oliveyoung_video_lists,video_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveYoungProductVideo,oliveyoung_product_video,product_id,product_id,ForeignKey,OliveYoungProductInfo,oliveyoung_product_info,product_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveYoungVideoData,oliveyoung_video_data,video_id,video_id,OneToOneField,YTVideoLists,YT_video_lists,video_id,,False,True,True,True,True,oliveyoung/models.py
oliveyoung,OliveYoungVideoData,oliveyoung_video_data,channel_id,channel_id,ForeignKey,YTUSers,youtuber_info,channel_id,,False,True,True,True,True,oliveyoung/models.py
