table,owner_app,owner_status,writer_apps,reader_apps,join_apps,consumer_apps,per_app_hits
instagram_user_benchmark,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_brand_safety,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_stat,instagram,SINGLE,,instagram,,,"{""instagram"": 2}"
instagram_user_stat_trend,instagram,SINGLE,,,,,"{""instagram"": 1}"
instagram_user_tag,instagram,SINGLE,,,,,"{""instagram"": 1}"
keywords,,NO_MODEL,amore,,,amore,"{""amore"": 1, ""keywords"": 1}"
naver_weekly_trend_categories,search,SINGLE,,,,,"{""search"": 1}"
naver_weekly_trend_rank,search,SINGLE,,,,,"{""search"": 1}"
oliveyoung_brand,brand,SINGLE,,,,,"{""brand"": 1}"
oliveyoung_brand_score,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_brand_top_product_count,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_product_agg_rank_daily,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_product_info,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_product_review,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_product_score,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_product_video,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_product_views2,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_realtime_views,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_trend_m,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_trend_m_rank,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_video_data,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_video_lists,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
oliveyoung_youtube_product_agg_daily,oliveyoung,SINGLE,,,,,"{""oliveyoung"": 1}"
saved_youtuber_brand_folders,youtube,SINGLE,,,,,"{""youtube"": 1}"
subs_milestone,youtube,SINGLE,,,,,"{""youtube"": 1}"
survey_beta_result,survey,SINGLE,,,,,"{""survey"": 1}"
temp_instagram_crawl_channel,instagram_admin,SINGLE,instagram_admin,instagram_admin,,,"{""instagram_admin"": 3}"
temp_ugwanggi_bumper_da,ads,SINGLE,,,,,"{""ads"": 1}"
temp_ugwanggi_campaign_da,ads,SINGLE,,,,,"{""ads"": 1}"
test_kakao_video_monitoring,aichat,SINGLE,,,,,"{""aichat"": 1}"
test_kakao_video_topic,aichat,SINGLE,,,,,"{""aichat"": 1}"
tiktok_channel,tiktok,SINGLE,,,,,"{""tiktok"": 1}"
tiktok_channel_stat,tiktok,SINGLE,,,,,"{""tiktok"": 1}"
tiktok_video,tiktok,SINGLE,,,,,"{""tiktok"": 1}"
tiktok_video_stat,tiktok,SINGLE,,,,,"{""tiktok"": 1}"
ugwanggi_action_tracker,user,SINGLE,,,,,"{""user"": 1}"
ugwanggi_ai_blog_video,aichat,SINGLE,,,,,"{""aichat"": 1}"
ugwanggi_ai_chat_history,aichat,SINGLE,,,,,"{""aichat"": 1}"
ugwanggi_ai_image_history,aichat,SINGLE,,,,,"{""aichat"": 1}"
ugwanggi_ai_survey,survey,SINGLE,,,,,"{""survey"": 1}"
ugwanggi_amore_campaign,amore,SINGLE,,,,,"{""amore"": 1}"
ugwanggi_archive,archive,SINGLE,,,,,"{""archive"": 1}"
ugwanggi_archive_group,archive,SINGLE,,,,,"{""archive"": 1}"
ugwanggi_archive_spreadsheet_auth,archive,SINGLE,,,,,"{""archive"": 1}"
ugwanggi_archive_spreadsheet_sheet,archive,SINGLE,,,,,"{""archive"": 1}"
ugwanggi_brand_report_access,brand,SINGLE,,,,,"{""brand"": 1}"
ugwanggi_brand_saved,brand,SINGLE,,,,,"{""brand"": 1}"
ugwanggi_bundle,subscribe,SINGLE,,,,,"{""subscribe"": 1}"
ugwanggi_cancel_survey,subscribe,SINGLE,,,,,"{""subscribe"": 1}"
ugwanggi_channel_demography_info_access,youtube,SINGLE,,,,,"{""youtube"": 1}"
ugwanggi_channel_survey,survey,SINGLE,,,,,"{""survey"": 1}"
ugwanggi_contact_us,survey,SINGLE,,,,,"{""survey"": 1}"
ugwanggi_creator_camp_list,youtube,SINGLE,,,,,"{""youtube"": 1}"
ugwanggi_creator_listup,youtube,SINGLE,,,,,"{""youtube"": 1}"
ugwanggi_creator_listup_ai_chat,youtube,SINGLE,,,,,"{""youtube"": 1}"
ugwanggi_creator_listup_filter,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_custom_coupon,subscribe,SINGLE,,,,,"{""subscribe"": 1}"
ugwanggi_custom_coupon_settings,subscribe,SINGLE,,,,,"{""subscribe"": 1}"
ugwanggi_custom_coupon_settings2,subscribe,SINGLE,,,,,"{""subscribe"": 1}"
ugwanggi_custom_payment,subscribe,SINGLE,,,,,"{""subscribe"": 1}"
ugwanggi_datalab_admin_memo,admin,SINGLE,,,,,"{""admin"": 1}"
ugwanggi_delete_survey,user,SINGLE,,,,,"{""user"": 1}"
ugwanggi_display_ad,ads,SINGLE,,,,,"{""ads"": 1}"
ugwanggi_display_ad_campaign,ads,SINGLE,,,,,"{""ads"": 1}"
ugwanggi_display_ad_campaign_result,ads,SINGLE,,,,,"{""ads"": 1}"
ugwanggi_docs_history,archive,SINGLE,,,,,"{""archive"": 1}"
ugwanggi_express_adslot_email_read_state,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_adslot_price_view_state,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_adslot_pricing,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_adslot_ugwanggi_pick,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_adslot_user_added_channels,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_adslots,express,SINGLE,,express,,,"{""express"": 2}"
ugwanggi_express_applications,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_applications_admin_check,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_brand_campaign_ugwanggi_pick,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_brand_campaign_view_state,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_brand_campaigns,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_brand_campaigns_ad_type,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_brand_info,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_brand_ugwanggi_pick,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_chat_file_upload_quota,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_chat_message,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_chat_room,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_chat_room_member,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_email_message,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_email_message_admin_check,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_email_template,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_oauth_state_session,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_oauth_token,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_request_campaign_view,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_request_chat,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_request_messages,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_request_status,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_studio_channels,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_studio_info,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_studio_members,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_ticket_refresh,express,SINGLE,,,,,"{""express"": 1}"
ugwanggi_express_users_brand,express,SINGLE,,express,,,"{""express"": 2}"
ugwanggi_free_trial_phone,subscribe,SINGLE,,,,,"{""subscribe"": 1}"
ugwanggi_generated_blog,aichat,SINGLE,,,,,"{""aichat"": 1}"
ugwanggi_ig_creator_saved,instagram,SINGLE,,,,,"{""instagram"": 1}"
ugwanggi_inquiry,admin,SINGLE,,,,,"{""admin"": 1}"
ugwanggi_kakao_analysis,aichat,SINGLE,,,,,"{""aichat"": 1}"
ugwanggi_kakao_video_split,aichat,SINGLE,,,,,"{""aichat"": 1}"
ugwanggi_keyword_chat_history,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_keyword_request_da,ads,SINGLE,,,,,"{""ads"": 1}"
ugwanggi_keywords_bench,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_keywords_comp,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_keywords_history,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_keywords_interest,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_keywords_result,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_keywords_search,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_keywords_text,search,SINGLE,,,,,"{""search"": 1}"
ugwanggi_linked_user,user,SINGLE,,,,,"{""user"": 1}"
ugwanggi_monitoring_campaign,monitoring,SINGLE,,,,,"{""monitoring"": 1}"
ugwanggi_monitoring_entity,monitoring,SINGLE,,,,,"{""monitoring"": 1}"
ugwanggi_monitoring_result,monitoring,SINGLE,,,,,"{""monitoring"": 1}"
ugwanggi_mrr,subscribe,SINGLE,,,,,"{""subscribe"": 1}"
ugwanggi_page_usage_duration,user,SINGLE,,,,,"{""user"": 1}"
ugwanggi_partner_creator_bookmark,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_partner_creator_bookmark_folder,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_partner_datalab,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_partner_datalab_file,partner,SINGLE,,,,,"{""partner"": 1}"
ugwanggi_partner_datalab_message,partner,SINGLE,,,,,"{""partner"": 1}"
